x,y,z,price,floor_count,floor_number,apartment_type,age_of_property,main_entrance_facing,built_up_area,bedroom_count,bathroom_count,has_swimming_pool,has_gym,number_of_lifts,parking_count,has_gas_pipeline,has_servant_room,power_backup_type,is_gated_community,security_type
1778.1297630601334,5748.624451427105,2093.134602020169,5500000,8,3,0,9,2,580,1,2,0,0,1,1,0,0,0,1,2
1776.7380343709003,5748.205256971825,2095.4663635910033,16000000,21,3,2,0,1,1250,2,2,0,0,2,0,0,0,0,1,1
1771.3621151897546,5751.141921126134,2091.956945048365,8500000,19,9,0,10,5,730,1,1,1,0,2,2,0,0,0,1,2
1773.416281693803,5747.928416313305,2099.03659157275,11500000,8,6,0,1,6,790,1,2,0,0,1,0,0,0,0,1,1
1777.6244781465648,5748.751197882812,2093.2156791728553,12000000,13,11,2,1,5,1000,2,2,0,0,2,1,0,0,2,1,0
1777.13343897369,5748.123295079605,2095.3558945068794,12000000,24,6,2,1,1,1000,2,2,0,0,2,1,1,0,0,1,0
1772.049939559322,5749.839001543266,2094.9538104788244,15500000,20,19,2,1,0,1140,2,2,1,1,3,1,1,0,2,1,2
1777.1498750321734,5747.899877905265,2095.954750286791,11000000,22,7,2,1,0,850,2,2,0,0,2,1,1,0,0,1,2
1771.2236480488145,5751.028106374729,2092.387035966468,6500000,8,0,0,15,4,480,1,1,0,0,1,2,0,0,0,1,1
1777.4023938206292,5748.057514682466,2095.308220368338,12000000,24,5,2,1,4,1000,2,2,0,0,2,1,1,0,0,1,1
1772.390431940993,5749.968254940572,2094.3109186411875,4500000,8,7,1,1,4,350,1,1,0,0,1,0,0,0,0,1,1
1776.9060031004287,5747.6617329607225,2096.814407525044,9500000,15,6,0,1,5,700,1,2,0,0,2,1,0,0,0,1,2
1775.2281537667818,5748.447437690865,2096.0815962598185,14500000,15,2,2,0,5,1077,2,2,0,0,2,0,0,0,0,1,2
1775.3303164961121,5748.803879323644,2095.01723725683,15700000,18,13,2,1,1,1080,2,2,0,0,2,1,1,0,0,1,2
1775.030016692814,5749.988871533976,2092.0175470284557,16000000,22,9,2,0,6,1100,2,2,0,0,3,0,0,0,0,1,0
1771.0256867835842,5751.754610546623,2090.5568437161423,5500000,21,14,2,5,7,850,2,2,0,0,2,1,0,0,2,1,2
1777.25225367573,5747.872320253632,2095.9435147128047,7000000,22,4,0,1,6,700,1,2,0,0,2,1,1,0,0,1,2
1773.0235726238927,5748.582280190967,2097.5772164081186,13000000,17,8,2,0,7,1030,2,2,0,0,2,0,0,0,0,0,1
1766.2890188758533,5753.110709976746,2090.832671580736,8700000,15,5,0,8,3,600,1,2,1,1,2,1,1,0,0,0,2
1763.0382596315817,5753.503356808173,2092.4952134407213,4500000,8,1,0,0,5,345,1,1,0,0,2,0,0,0,0,1,1
1777.2977865857804,5748.456132227592,2094.3031475057014,7500000,16,8,0,0,0,725,1,2,0,0,2,0,0,0,0,1,1
1766.277675813682,5753.382271726243,2090.0948799775574,7500000,23,12,0,0,5,695,1,1,0,0,1,0,0,0,0,1,1
1766.2784540457267,5753.379437968485,2090.102022757568,7500000,23,9,0,0,5,695,1,1,0,0,2,0,0,0,0,1,1
1763.1297982313777,5753.4722883707245,2092.5035105200486,4500000,8,1,0,0,1,375,1,1,0,0,2,0,0,0,0,1,1
